id,created,eventType,eventValue,jobId,country,slug,geo
291A0388D8525FC7422BEB97C7D9481B,2022-08-22 15:30:46,Apply,10780,6301f4e68d484170669791ba,US,doordash,POINT(-122.04619996 47.62540000)
C5733B31E12896633B1A8FAEBE96DD47,2022-08-22 15:36:35,Apply,5179,63039b4b3bbdc2174316c1f6,US,doordash,POINT(-80.06789997 40.90490003)
53FDFAF42206E5607BC5424581F5EFDB,2022-08-22 15:38:17,Apply,10780,6301ce1e01883c93725f98d1,US,doordash,POINT(-122.22810002 47.56029999)
8C3AC70079C6EF595DCAB2EDFB904376,2022-08-22 15:56:08,Apply,4200,63039bf43bbdc2174316c654,US,doordash,POINT(-108.59680003 39.10710003)
84AF4C71DFCC270577140469C8901D04,2022-08-22 16:49:36,Apply,7909,63039c803bbdc2174316ca51,US,doordash,POINT(-86.79160002 36.15040004)
F31CD462C1207691DD857DB608F0F353,2022-08-22 17:49:06,Apply,4550,62fc30be0cc68eb88fb35fa0,US,doordash,POINT(-86.82979997 34.17609996)
58A65D8887BFB34A9DFA24B9CC453DC8,2022-08-22 18:05:13,Apply,4409,62fc5ad74408f92d3db64f00,US,doordash,POINT(-83.36870003 38.98690002)
43B3068D9371888ECF19D01BBABC172E,2022-08-22 18:43:42,Apply,9380,63029e38ca9ce383741ffe3e,US,doordash,POINT(-71.78880003 42.28939997)
44D2B27030D1EF361E0DD7BA203628F3,2022-08-22 18:51:56,Apply,9380,6301f5728d484170669795f2,US,doordash,POINT(-71.05450001 42.36000001)
4922A07852B1005DACBF2E760A3A27B4,2022-08-22 19:31:23,Apply,9380,6301c9b7b05c7bda78559ac0,US,doordash,POINT(-71.07449999 42.29729997)
61CD507AD7840C4FB08157287FF0DEC4,2022-08-22 19:46:37,Apply,4550,6301caa501883c93725f7514,US,doordash,POINT(-95.31109996 41.64370004)
816ED7A69EC49D7A9E15B9CCA046D765,2022-08-22 20:06:51,Apply,5179,6303c550015b533083896225,US,doordash,POINT(-120.53110003 46.59340000)
170EEAD9391FDC95CAC21130FE1DA55E,2022-08-22 20:17:26,Apply,9380,6301cb6901883c93725f7d89,US,doordash,POINT(-71.12299998 42.34310002)
2BAD756D6B6D814446EE17F626B2034E,2022-08-22 21:54:32,Apply,4200,62f1a4e438bcad8235259b7e,US,doordash,POINT(-95.84319997 32.19350001)
276240A8EBA9D3303A55F72BEABC8390,2022-08-22 22:20:36,Apply,6090,6301d03201883c93725fac9a,US,doordash,POINT(-88.21960003 42.99929997)
53EF89199A9347D3070A330E56F7BC17,2022-08-22 22:26:34,Apply,4550,62f17a92cde4bbc8c2302af6,US,doordash,POINT(-80.26199999 35.82310003)
D7F208109C116A0408E21BC19F99AAFD,2022-08-22 22:49:19,Apply,7000,6303f01f8be435b96d8e51a7,US,doordash,POINT(-149.74470005 61.20369998)
BB5943571DA2B9FDD5BEA4DCD44EA99D,2022-08-22 23:31:49,Apply,4200,6301d01201883c93725fab23,US,doordash,POINT(-77.44209997 39.00209998)
B76E7DAD449A95E20D015F582C5E7ADC,2022-08-23 0:07:20,Apply,4200,6303c50a015b533083896003,US,doordash,POINT(-108.35099996 36.74099999)
E2F22FE88B04D7009C3E962B7DEA1B46,2022-08-23 0:09:20,Apply,4200,6301ca7601883c93725f7353,US,doordash,POINT(-77.44209997 39.00209998)
E4379B5920F406B0CD540D12DA4C20E8,2022-08-23 1:42:23,Apply,6370,63039d003bbdc2174316ccdd,US,doordash,POINT(-84.76310004 43.41060000)
43CA225C21B45EC288792ABBD9304D74,2022-08-23 6:21:53,Apply,10430,6301cff701883c93725fa9f9,US,doordash,POINT(-93.26830000 44.98349997)
0DF0E9F79D9FAF16A738418FD1838528,2022-08-23 6:51:18,Apply,6090,630444c9e553f97afa13409c,US,doordash,POINT(-87.90650000 43.03890002)
